student_id,Hours_Studied_6m,Attendance_6m,Parental_Involvement_6m,Access_to_Resources_6m,Extracurricular_Activities_6m,Sleep_Hours_6m,Previous_Scores_6m,Motivation_Level_6m,Internet_Access_6m,Tutoring_Sessions_6m,Family_Income_6m,Teacher_Quality_6m,School_Type_6m,Peer_Influence_6m,Physical_Activity_6m,Learning_Disabilities_6m,Parental_Education_Level_6m,Distance_from_Home_6m,Gender_6m,Exam_Score_6m,dropout_6m,intervention_type,intervention_hours,intervention_attendance,actual_dropout_6m
0,19,64,Low,Medium,0,8,59,Low,1,2,Medium,Medium,Public,Negative,4,0,College,Moderate,Female,61,1,,0,0.0,
1,10,78,Medium,High,1,8,74,Medium,1,1,Low,Medium,Private,Neutral,4,0,Postgraduate,Near,Male,65,1,,0,0.0,
2,14,60,Medium,Low,1,10,65,Low,1,0,High,Medium,Private,Positive,3,0,College,Near,Male,60,1,,0,0.0,
3,12,75,Medium,High,1,7,58,Medium,1,3,Medium,Medium,Private,Positive,4,0,College,Near,Male,66,1,,0,0.0,
4,17,65,Low,High,1,5,75,Medium,1,2,Low,Medium,Public,Positive,3,0,High School,Near,Female,63,1,,0,0.0,
5,18,66,High,High,0,4,51,Low,1,2,Low,Medium,Private,Neutral,2,0,College,Near,Male,64,1,,0,0.0,
6,14,60,High,Medium,0,5,50,Medium,1,2,Medium,Medium,Public,Neutral,3,0,College,Near,Female,61,1,,0,0.0,
7,13,72,Low,Medium,0,6,93,Low,1,1,Low,Medium,Public,Negative,3,0,High School,Near,Male,61,1,,0,0.0,
8,21,65,Medium,Low,1,7,91,Low,1,2,Medium,High,Public,Positive,3,0,High School,Far,Female,64,1,,0,0.0,
9,8,99,Medium,Medium,0,9,54,Low,1,2,Low,Medium,Public,Neutral,5,0,Postgraduate,Near,Female,67,1,,0,0.0,
10,12,72,Low,Medium,1,8,84,Medium,1,1,Low,Medium,Public,Positive,5,0,High School,Near,Female,63,1,,0,0.0,
11,21,65,Low,Medium,1,6,98,Low,1,1,Medium,High,Public,Negative,4,0,High School,Near,Male,64,1,,0,0.0,
12,24,68,High,Medium,0,8,56,Low,1,3,High,High,Public,Neutral,1,0,College,Near,Male,67,1,,0,0.0,
13,21,84,Medium,Medium,1,6,52,Low,1,1,Medium,High,Public,Neutral,2,1,College,Far,Female,65,1,,0,0.0,
14,9,77,Medium,Medium,0,5,57,Medium,1,2,Medium,High,Public,Neutral,3,0,High School,Near,Male,63,1,,0,0.0,
15,22,71,Low,Medium,1,7,65,Low,1,1,Medium,Low,Public,Positive,4,0,College,Moderate,Male,64,1,,0,0.0,
16,26,67,Medium,High,1,7,51,Low,1,2,High,High,Private,Neutral,4,1,Postgraduate,Far,Female,66,1,,0,0.0,
17,15,83,Medium,High,0,5,89,Low,0,1,Medium,High,Public,Neutral,2,1,High School,Near,Female,65,1,,0,0.0,
18,19,65,Medium,Medium,1,10,66,Low,1,0,Low,Medium,Public,Positive,3,0,High School,Moderate,Male,62,1,,0,0.0,
19,8,61,Medium,Medium,1,7,54,Medium,1,1,High,Medium,Public,Positive,3,0,College,Near,Male,60,1,,0,0.0,
20,22,64,Low,Medium,0,7,98,Low,0,1,Medium,Medium,Public,Negative,3,0,High School,Near,Male,62,1,,0,0.0,
21,17,65,Medium,High,1,8,66,Medium,1,1,High,High,Public,Neutral,4,1,Postgraduate,Moderate,Female,65,1,,0,0.0,
22,8,77,High,Medium,1,6,87,Medium,1,0,Low,Medium,Public,Neutral,2,0,High School,Moderate,Male,63,1,,0,0.0,
23,12,88,Low,Medium,0,6,72,Low,1,2,Medium,Medium,Public,Positive,2,0,College,Far,Male,64,1,,0,0.0,
24,11,78,Medium,High,1,8,51,Medium,1,2,Low,Medium,Public,Neutral,3,0,Postgraduate,Near,Male,64,1,,0,0.0,
25,29,61,Medium,High,1,7,52,Low,1,3,Low,Medium,Private,Positive,3,0,College,Near,Female,67,1,,0,0.0,
26,15,78,High,High,0,9,75,Low,1,1,Low,Medium,Public,Negative,1,0,High School,Near,Male,65,1,,0,0.0,
27,10,82,Medium,Low,0,8,70,Medium,1,3,Low,High,Public,Positive,1,1,Postgraduate,Near,Female,64,1,,0,0.0,
28,13,65,Low,High,0,6,99,Medium,1,0,Low,Medium,Private,Negative,4,0,High School,Near,Male,61,1,,0,0.0,
29,23,75,Low,High,0,6,71,Low,1,0,Medium,Medium,Public,Neutral,2,0,College,Near,Male,65,1,,0,0.0,
30,13,76,Medium,High,0,5,99,Low,1,2,Medium,Medium,Private,Positive,4,0,High School,Near,Female,66,1,,0,0.0,
31,15,77,Medium,Medium,1,8,94,Low,1,0,High,High,Public,Positive,3,0,College,Moderate,Male,66,1,,0,0.0,
32,15,76,High,High,0,8,53,Medium,1,1,Low,Medium,Public,Neutral,4,0,College,Near,Male,65,1,,0,0.0,
33,14,71,Medium,Medium,1,8,85,Low,1,2,Medium,High,Public,Neutral,4,0,High School,Near,Male,64,1,,0,0.0,
34,23,71,Low,Low,1,9,75,Low,1,1,Low,Medium,Public,Negative,2,0,College,Near,Male,63,1,,0,0.0,
35,15,74,Low,High,1,4,68,Low,1,3,Low,Medium,Public,Positive,3,0,High School,Near,Female,64,1,,0,0.0,
36,11,62,Medium,High,1,5,82,Medium,1,3,High,Medium,Private,Neutral,4,0,College,Moderate,Male,64,1,,0,0.0,
37,13,69,Medium,Low,1,9,96,Low,1,0,High,Medium,Private,Neutral,4,0,High School,Far,Female,61,1,,0,0.0,
38,24,66,Medium,Low,0,9,82,Low,1,1,Medium,Medium,Public,Neutral,2,1,High School,Near,Female,62,1,,0,0.0,
39,17,86,High,Low,0,5,55,Low,0,2,High,Medium,Private,Neutral,4,0,College,Near,Male,66,1,,0,0.0,
40,10,64,Medium,High,0,7,64,High,1,0,Medium,Medium,Public,Positive,4,1,High School,Moderate,Female,60,1,,0,0.0,
41,14,64,Medium,Medium,1,6,85,Medium,1,0,Medium,Medium,Public,Neutral,3,0,High School,Near,Male,62,1,,0,0.0,
42,16,61,Medium,Medium,0,9,86,Low,1,2,Low,High,Public,Positive,2,0,High School,Near,Male,62,1,,0,0.0,
43,21,67,Medium,Medium,0,7,96,Low,1,3,Low,Medium,Public,Neutral,2,0,High School,Far,Female,64,1,,0,0.0,
44,8,71,High,Low,0,8,75,Medium,1,0,Medium,High,Public,Positive,3,0,High School,Near,Male,61,1,,0,0.0,
45,13,72,High,High,0,7,66,Medium,1,0,Low,High,Public,Neutral,4,0,Postgraduate,Near,Male,65,1,,0,0.0,
46,12,93,Medium,Medium,1,9,74,Low,1,1,Medium,Medium,Public,Neutral,3,0,Postgraduate,Moderate,Male,67,1,,0,0.0,
47,26,71,High,Medium,1,6,51,Low,0,1,High,Medium,Private,Positive,3,0,Postgraduate,Moderate,Male,67,1,,0,0.0,
48,16,64,High,Low,1,5,65,Medium,1,3,Medium,High,Private,Positive,4,0,Postgraduate,Moderate,Female,65,1,,0,0.0,
49,25,69,Medium,Medium,1,7,70,Low,0,1,High,High,Public,Positive,4,0,High School,Far,Female,65,1,,0,0.0,
50,14,68,High,Medium,0,6,65,Medium,1,1,High,Medium,Public,Neutral,3,1,College,Near,Male,63,1,,0,0.0,
51,1,69,High,Medium,1,6,97,Medium,1,1,Low,Medium,Public,Positive,3,0,High School,Near,Female,61,1,,0,0.0,
52,11,68,Medium,Medium,0,6,80,Medium,1,2,Medium,Medium,Public,Positive,3,0,College,Moderate,Female,63,1,,0,0.0,
53,17,66,Low,High,0,6,61,Medium,1,1,High,Medium,Public,Positive,6,0,Postgraduate,Near,Male,65,1,,0,0.0,
54,20,70,Medium,Medium,1,7,84,Low,0,2,Medium,High,Private,Neutral,4,0,College,Far,Male,65,1,,0,0.0,
55,24,65,Medium,Low,0,7,64,Low,1,1,High,Medium,Public,Neutral,1,0,Postgraduate,Near,Male,64,1,,0,0.0,
56,13,69,Medium,Low,1,5,68,Low,1,0,High,Medium,Public,Positive,1,1,High School,Moderate,Female,59,1,,0,0.0,
57,8,73,Medium,Medium,0,7,60,Medium,0,0,High,Medium,Private,Neutral,3,0,High School,Near,Female,60,1,,0,0.0,
58,19,66,Medium,High,0,7,59,Medium,1,1,High,Medium,Public,Negative,3,0,High School,Far,Male,62,1,,0,0.0,
59,22,73,Low,Medium,1,9,72,Low,1,3,Medium,Medium,Public,Positive,3,0,High School,Near,Female,66,1,,0,0.0,
60,16,83,Medium,High,1,7,56,Low,1,4,High,Medium,Public,Positive,3,0,High School,Near,Female,68,1,,0,0.0,
61,20,81,Medium,Medium,1,5,60,Low,1,3,Medium,Medium,Public,Positive,4,1,High School,Near,Male,66,1,,0,0.0,
62,18,80,Medium,Medium,0,8,55,Low,1,2,Low,Low,Public,Neutral,3,0,High School,Moderate,Male,63,1,,0,0.0,
63,20,69,Medium,High,0,6,63,Low,1,0,Low,Medium,Public,Negative,3,0,Postgraduate,Near,Male,64,1,,0,0.0,
