Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,dropout,student_id
19,64,Low,Medium,0,8,59,Low,1,2,Medium,Medium,Public,Negative,4,0,College,Moderate,Female,61,1,0
10,78,Medium,High,1,8,74,Medium,1,1,Low,Medium,Private,Neutral,4,0,Postgraduate,Near,Male,65,1,1
14,60,Medium,Low,1,10,65,Low,1,0,High,Medium,Private,Positive,3,0,College,Near,Male,60,1,2
12,75,Medium,High,1,7,58,Medium,1,3,Medium,Medium,Private,Positive,4,0,College,Near,Male,66,1,3
17,65,Low,High,1,5,75,Medium,1,2,Low,Medium,Public,Positive,3,0,High School,Near,Female,63,1,4
18,66,High,High,0,4,51,Low,1,2,Low,Medium,Private,Neutral,2,0,College,Near,Male,64,1,5
14,60,High,Medium,0,5,50,Medium,1,2,Medium,Medium,Public,Neutral,3,0,College,Near,Female,61,1,6
13,72,Low,Medium,0,6,93,Low,1,1,Low,Medium,Public,Negative,3,0,High School,Near,Male,61,1,7
21,65,Medium,Low,1,7,91,Low,1,2,Medium,High,Public,Positive,3,0,High School,Far,Female,64,1,8
8,99,Medium,Medium,0,9,54,Low,1,2,Low,Medium,Public,Neutral,5,0,Postgraduate,Near,Female,67,1,9
12,72,Low,Medium,1,8,84,Medium,1,1,Low,Medium,Public,Positive,5,0,High School,Near,Female,63,1,10
21,65,Low,Medium,1,6,98,Low,1,1,Medium,High,Public,Negative,4,0,High School,Near,Male,64,1,11
24,68,High,Medium,0,8,56,Low,1,3,High,High,Public,Neutral,1,0,College,Near,Male,67,1,12
21,84,Medium,Medium,1,6,52,Low,1,1,Medium,High,Public,Neutral,2,1,College,Far,Female,65,1,13
9,77,Medium,Medium,0,5,57,Medium,1,2,Medium,High,Public,Neutral,3,0,High School,Near,Male,63,1,14
22,71,Low,Medium,1,7,65,Low,1,1,Medium,Low,Public,Positive,4,0,College,Moderate,Male,64,1,15
26,67,Medium,High,1,7,51,Low,1,2,High,High,Private,Neutral,4,1,Postgraduate,Far,Female,66,1,16
15,83,Medium,High,0,5,89,Low,0,1,Medium,High,Public,Neutral,2,1,High School,Near,Female,65,1,17
19,65,Medium,Medium,1,10,66,Low,1,0,Low,Medium,Public,Positive,3,0,High School,Moderate,Male,62,1,18
8,61,Medium,Medium,1,7,54,Medium,1,1,High,Medium,Public,Positive,3,0,College,Near,Male,60,1,19
